Date,Name,Type,Quantity,Units,Calories,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
2020-09-18,Google Fit Workout,Exercise,11,minutes,198.343,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-20,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-21,"Cereal, Cheerios",Breakfast,1.125,Cups,113,2.25,3.38,22.50,0.56,1.13,3.38,0,157.50
2020-09-21,"Milk, 2%, w/ Vitamin A & D",Breakfast,0.75,Cup,92,3.62,6.4,8.78,2.29,9.26,0,14.64,86.1
2020-09-21,"Pizza, Cheese, Slice",Lunch,2,Each,480,18,2,60,9,6,2,40,820
2020-09-21,Mellow yellow zero,Lunch,22,Ounces,9,0,0,0,n/a,0,0,0,45.83
2020-09-21,"Chips, Tortilla, Restaurant Style, Original",Snacks,54,Grams,270,13.50,3.86,36.64,1.93,0,1.93,0,221.79
2020-09-21,Starburst Minis,Snacks,0.5,Cup,300,3,0,70,2,54,0,0,100
2020-09-21,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-21,Google Fit Workout,Exercise,8,minutes,167.028,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-22,"Cereal, Cheerios",Lunch,2,Cups,200,4,6,40,1,2,6,0,280
2020-09-22,"Salsa, Chunky, Mild",Lunch,5,Tablespoons,25,0,0,5,0,5,1.25,0,625.8
2020-09-22,"Chips, Tortilla, Restaurant Style, Original",Lunch,65,Grams,325,16.25,4.64,44.11,2.32,0,2.32,0,266.96
2020-09-22,Nacho cheese chips,Dinner,50,Grams,250,14.29,3.57,28.57,1.79,0,1.79,0,375
2020-09-22,Starburst Minis,Snacks,0.75,Cup,450,4.50,0,105,3,81,0,0,150
2020-09-22,Google Fit Workout,Exercise,12,minutes,163.146,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-22,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-23,Nacho cheese chips,Lunch,65,Grams,325,18.57,4.64,37.14,2.32,0,2.32,0,487.50
2020-09-23,Skittles,Snacks,0.5,Cup,320,3,0,74,3,60,0,0,20
